keyword,url,user,comment_content,ai_analysis
智能问诊,https://www.zhihu.com/question/1884619338675386342,nan,我拐走了魔尊两岁的儿子。瓷娃娃在我怀里眨巴着眼睛，好乖好乖。回到宗门，我把他献给仙尊。「让他给您当小厮，您看怎样？」本以为仙尊会高兴。结果他面色惨白。系统提示：【宿主，仙尊对您的好感度下降 5。】我不李姐！让宿敌的儿子伺候他，他怎会不开心？！这时，一位师兄火急火燎跑进来,
【AI工具】AI问诊颠覆式升级，从此看病不求人,https://api.zhihu.com/articles/1952377311899923862,包包,可靠的解答必须建立在专业医疗背书的基础上——这也正是我们通常更信赖专家名医的原因。而传统AI问诊的一个常见痛点，就是用户常常难以清晰、准确地描述自己的复杂症状,
AI能否替代医生问诊？,https://api.zhihu.com/answers/1977675181653783662,优选评测院,“N”则代表衍生出的多种垂直服务 。 这些智能体包括AI精准找医生、AI医学解读、AI皮肤病识别、AI用药助手、AI睡眠助手等 。这些功能旨在解决用户在健康信息获取、疾病初步判断、就医指导、报告解读等方面的痛点,
AI应用到医疗上，能替代医生进行快速问诊吗？,https://api.zhihu.com/answers/1981692804494280524,无问,反正目前使用ai来看，完全不行。 我随便问个问题，问多了就开始错误，更别提问诊了。 ai的逻辑和联系还不足支撑一次比较严重的疾病,
你觉得这个AI问诊功能咋样？,https://api.zhihu.com/articles/1951700076679403121,VMOMENT,很多用户都非常喜欢里边的AI中医功能。 打开VMOMENT，拍一张舌照+面照（放心，照片仅用于AI分析哦～） 它会细心帮你分析,
生成式人工智能在诊断学问诊教学中的应用,https://www.zhihu.com/kvip/sku/paper/1961785497476129619,nan,"目的探讨生成式人工智能在诊断学问诊教学中的应用效果。方法选择西安交通大学医学部2019级临床医学专业学生为研究对象,随机选择2个小班分别作为对照组(n=50)和试验组(n=50)。试验组采用Claud",
当下流行的AI智能问诊是什么？,https://api.zhihu.com/answers/2825878840,陆玖传媒,@左手医生 左手医生智能与问诊以医疗对话交互形式，在患者就诊前模拟医生问诊流程，提前采集患者病情信息,
deepseek「AI 问诊」真的很有用吗？它对心理精神病类的判断如何？还是说其只适合询问生理病？,https://api.zhihu.com/answers/1897672112598140308,墨苍离,或用平庸者傲慢视角去意淫世界的妄想。 因而，你用好AI，AI可信的前提是： 你自己的认知高。 而这又是个悖论,
「AI 问诊」火了，如果用 AI 开出的药方出了问题，这个责任由谁承担？,https://api.zhihu.com/answers/110769994073,药渣王,AI问诊对医院和患者都是有利的，以后会成为病人和医生的好帮手，不但能促进更合理的诊断和用药，也有助于消除医药信息差,
deepseek「AI 问诊」真的很有用吗？它对心理精神病类的判断如何？还是说其只适合询问生理病？,https://api.zhihu.com/answers/1973848250072179979,咪蒙,我们来全面、客观地分析一下DeepSeek这类AI在问诊，特别是心理精神类问题上的能力、局限性和正确使用方式,
AI能否替代医生问诊？,https://api.zhihu.com/answers/2898022788,神经夫妻联盟,听我讲完，作为一名神经外科医生，我其实很期待AI能替代医生的问诊工作，原因其实很简单，在繁忙高强度的医疗工作中,
人工智能问诊，智慧医疗健康管理，智能药物推荐系统，智能食疗推荐，疾病诊断分析系统，医疗健康机器人系统,https://api.zhihu.com/articles/632148808,andy,人工智能健康管理系统，语音交互，智能分析疾病，包含8000+疾病智能分析，3W+症状数据， 饮食运动处方,
当下流行的AI智能问诊是什么？,https://api.zhihu.com/answers/581708809,陈遥,作为一名IT技术人员，对于AI智能，略有了解。众所周知AI是人工智能，AI智能问诊，也就是把人工智运用于医疗领域,
deepseek「AI 问诊」真的很有用吗？它对心理精神病类的判断如何？还是说其只适合询问生理病？,https://api.zhihu.com/answers/1970029990713197803,嗯哼,核心问题其实在于 AI的算法和模型。 AI问诊的本质是信息匹配与概率计算，它真正的能力是运算推理能力,
deepseek「AI 问诊」真的很有用吗？它对心理精神病类的判断如何？还是说其只适合询问生理病？,https://api.zhihu.com/answers/1897690789389239016,徐若航,比以前大家看病方便很多，虽然也有一些局限性。 输入你的问题deepseek可以给到相当多的资料，各种心理问题的可能性,
为什么说人工智能问诊才是在线问诊的未来？,https://api.zhihu.com/answers/584025819,是你的益达,就有可能产生误诊的情况。但是人工智能问诊与在线问诊有所不同，因为有人工智能技术，在线问诊就变为发达。原因你知道吗,
你有通过 AI 诊断过疾病的经历吗？,https://api.zhihu.com/answers/1903784714231342483,暗淡蓝点,推荐专业的问诊平台，比如丁香医生，微信小程序和APP都有，可以选择医院，科室，医生，进行付费问诊，可以用图文形式,
互联网医院AI预问诊：重塑线上问诊的第一公里,https://api.zhihu.com/articles/1979557724556632215,争实科技,一份清晰、条理的预问诊报告已经生成，静候医生查阅。 二、AI预问诊带来的核心价值 AI预问诊的价值是多方共赢的,
线上问诊和 AI 辅助诊断真的靠谱吗，未来会取代线下看病吗？,https://api.zhihu.com/answers/1963627502674097960,健康管理培训,线上问诊和 AI 辅助诊断的靠谱性，早已在政策规范与技术落地中形成支撑，但 “取代线下看病” 始终是伪命题,
为什么说人工智能问诊才是在线问诊的未来？,https://api.zhihu.com/answers/584038261,狗脊,路是走出来的，把人做主体，才能提现人工智能的优势。 人工智能问诊是中国医疗可能走的最快的路，但不一定最适合中国的国情,
AI医疗工具测评（个人健康咨询）,https://api.zhihu.com/articles/8227789236,彬及琳,笔者分别尝试了3款AI医疗工具，来看看作为个人健康咨询的话，使用体验如何？ 这3款AI医疗工具分别是：,
请问：有没有人在研究用人工智能（AI）助力中医问诊？比如，用AI建立人类脉搏模型，诊断疾病?,https://api.zhihu.com/answers/2386050693,vector,曾经看到自动化学报的一篇文章，用知识图谱搞了一个问诊平台进行中医诊断的，用的是症状作为输入，诊断作为输出,
医生被质疑后发现DeepSeek才是对的，AI问病靠谱吗？,https://api.zhihu.com/articles/25957124406,赛鲁斯,普通医生，律师，财务，甚至教师都是人工智能最先冲击的行业。说白了，人工智能在归纳总结方面有天然的优势！ 不喜欢乱怼,
如果你的诊断主要由 AI 给出，你会更信任医生还是 AI 的结论？,https://api.zhihu.com/answers/1971528180889257286,CpP,你们为什么这么信AI………… AI医疗我私以为的最大问题是信息输入。比如你觉得肚子疼，然后问AI，未受过医学训练的人大概率只会打出“肚子疼”三个字给AI,
医生治疗方案被质疑，发现患者用 DeepSeek 给出的诊断结果才是对的，AI 未来会取代医生问诊吗？,https://api.zhihu.com/answers/109345501396,Corbicula,并且不会进行真正的思维实验。LLM在所有AI技术中是网友最容易获得震撼体验的AI类型，但不是最适合医疗诊断的AI类型。 我当然相信AI诊断有一天会完全取代人,
问一下知乎的医生们，以后的患者要是用DeepSeek问答的内容和你们对线要怎么办？,https://api.zhihu.com/answers/91735088221,rising Li,我已经开始用AI来帮我诊治疑难患者了，根据我把之前已经确诊的疑难病人的资料发给AI所得出的结论，可以看出即便非医疗型的AI也能在大多数情况下给出正确或者接近正确的答案,
AI看病软件哪个好？,https://api.zhihu.com/articles/1911449952120442966,医联健康,网络搜索看见的信息可信度、夸大性又让人恐惧，随着AI医疗的发展，AI看病软件让越来越多的用过的用户觉得值得使用、参考，所以AI看病软件哪个好,
多地医院接入 DeepSeek，会如何改变传统诊疗方式？医疗行业的人如何拥抱 AI?,https://api.zhihu.com/answers/117858339674,Nulli Cedo,听诊湿啰音，输入AI AI建议查胸片和验血，AI诊断肺右下叶影像学实质化，验血AI诊断为白血球上升，中性粒上升,
线上问诊和 AI 辅助诊断真的靠谱吗，未来会取代线下看病吗？,https://api.zhihu.com/answers/1964726959067079273,山西力汇智联,我的认为是不会取代，线下问诊的这种模式一定是不会被ai取代的。 因为线上问诊，ai诊断只能说是浅层的分析可能的病因,
DeepSeek能够进行中医辩证处方吗？,https://api.zhihu.com/answers/94865801853,西安水哥,那得荒唐到何种程度。 所以，中医AI的核心，仍然是中医水平高低的较量，而不是AI，AI充其量只是一个工具。 第二,
AI看病到底靠不靠谱？专家、用户观点完全对立,https://api.zhihu.com/articles/1974911618065404856,数字健康快讯,特别是像泰积健康推动的 AI 中医系统，在基层、乡镇、边区的落地证明——AI 正在真正解决“看病难、看病慢、看病贵”的现实问题,
AI医生在三甲医院辅助诊疗，病情评估更快更准，3-5分钟给出诊断报告，AI未来会取代人类医生吗？,https://api.zhihu.com/answers/103481745615,社会科学,以至于这个问题表现的平平无奇，才15个回答。 AI医生最大的作用不是问诊自动化，不是给患者带来的那么点、也许暂时还没有的便利,
你对于现在网上AI看病有什么看法，AI医生真的可以看病吗？,https://api.zhihu.com/answers/1906316969042511268,诚信期待合作,比较可信，AI所能查阅和记忆的内容比真人医生要多得多，但要结合自己的实际情况综合考虑，AI引用错误的观点也是有可能的,
柳叶刀惊曝：AI让医生6个月「废功」20%，癌症检出率崩盘！,https://api.zhihu.com/articles/1946605571139675519,新智元,检查在有或没有AI辅助的情况下随机进行。 在未得到AI辅助的检查中，有795例是在常规使用AI前进行的，648例则是在引入AI工具后进行的,
卫生健康行业人工智能应用场景参考指引——10.智能预问诊,https://api.zhihu.com/articles/1971137844484486458,<em>智能</em>健康管理,应用场景：在医生问诊前，利用语音识别、 自然语言理 解、 图像识别、领域知识融合等人工智能技术，通过文字、,
AI能否替代医生问诊？,https://api.zhihu.com/answers/1929241154190292221,BOZZTEK,到生产落地全流程跟进，让智能硬件精准匹配业务，助力行业效率升级 。 医疗问诊效率革命已至，用这款智能 AI 问诊机打破传统桎梏,
【基层AI医疗进化记 01】问诊：AI实时生成问诊提示,https://api.zhihu.com/articles/29374558649,ABC诊所管家,针对基层医疗机构目前在问诊环节存在的问题，以及问诊对诊疗的重要性，ABC上线了AI问诊提示。 02 AI问诊提示是什么 AI问诊提示相当于在系统内自带了“问诊提纲”、“问诊模板”,
AI问诊逐渐取代医生是不是伪命题？实测国内外医疗专用大模型！,https://api.zhihu.com/articles/663138355,优云智算,而在之前的25名医生都没有诊断正确，AI大模型能否代替一部分初级的问诊？下面我们就来实测一下！ 01 百度灵医BOT(国内),
如果你非得用DeepSeek看病，建议这么看（附详细提问模版）,https://api.zhihu.com/articles/1979535560784773942,果壳,能不能用AI看病？当专家不能，当助手很能 有一种用DeepSeek等人工智能助手（AI）看病的方法是,
“问诊”这一步能利用大数据做出一个人工智能吗？,https://api.zhihu.com/answers/1937088735524131182,知企科技,需要技术持续迭代与伦理规范的双轮驱动。 从“望闻问切”到“云端问诊”，科技重塑了医患连接的形态。AI问诊系统正悄悄改变着医疗资源流动的轨迹,
AI能否替代医生问诊？,https://api.zhihu.com/answers/1937167411158704532,蓝字计划,立马刷新了很多人的对 AI 的认知，原来 AI 除了帮我们偷懒和娱乐外，还能用来“问诊”。 但从网友们的反应来看,
第22期：如何理解什么是“智能问诊”？,https://api.zhihu.com/articles/559963553,数字化刘老师,智能问诊是人工智能技术在医疗领域的重要应用。所谓智能问诊，就是指机器代替医生与患者进行对话，了解患者的病情,
AI应用到医疗上，能替代医生进行快速问诊吗？,https://api.zhihu.com/answers/1981654233347556314,千手医仙,从短期来说，肯定可以替代，类似于我们出门诊有个实习同学帮忙预问诊，但是总是需要主诊医生把关从长远来说，就是智能驾驶的未来，终究是完全替代人类，不过那个时候ai可能主要都在忙着修他们自己的硅基生命,
DeepSeek开药方靠谱吗？,https://api.zhihu.com/articles/32732706134,中医传人,不少人开始尝试向AI求一张中医药方，而DeepSeek则一瞬间化身“老中医”。 足不出户，AI问诊，情况如何,
如何看待医疗智能问诊?,https://api.zhihu.com/answers/2654292410,数字化刘老师,智能问诊是人工智能技术在医疗领域的重要应用。所谓智能问诊，就是指机器代替医生与患者进行对话，了解患者的病情,
AI能否替代医生问诊？,https://api.zhihu.com/answers/2952416716,澳洋数字,AI不能替代医生问诊。 因为人是具有思想和情感的，虽然人工智能技术的发展推动了医疗事业的进步，但是医疗人工智能是不可能取代医生这个行业的,
线上问诊和 AI 辅助诊断真的靠谱吗，未来会取代线下看病吗？,https://api.zhihu.com/answers/1963560615009293832,漫步溜达,线上问诊和 AI 辅助诊断真的靠谱吗，未来会取代线下看病吗？ 线上问诊和 AI 辅助诊断真的靠谱吗，这个靠谱是有概率的,
人工智能AI有望在不久的将来代替西医医生,https://api.zhihu.com/articles/21246863907,iceflame,西医看病的程序化和流水线化为AI看病提供了很大的可能，近年兴起的网上问诊已经让病人不需要再去医院排队看病,
现代AI诊疗是否可以人工诊断？,https://api.zhihu.com/answers/1933673907770066156,七月,医院如何认定AI的结果要不要每个都人工审核。AI诊断出现异常问题后责任如何划分。当AI出现异常无法“断臂”自保,
AI 辅助诊断离真正落地还有多远，主要障碍在哪里？,https://api.zhihu.com/answers/1963898570580162400,一个胖momo,那这个模型对罕见病的诊断准确率有多高，如果诊断错了，那ai愿不愿意背锅。 现在AI程序辅助诊断，供应商愿不愿意背锅？很明显不愿意,
医生治疗方案被质疑，发现患者用 DeepSeek 给出的诊断结果才是对的，AI 未来会取代医生问诊吗？,https://api.zhihu.com/answers/109624681489,胡言,机器人就可以手术了，全中国只需要几万个医生就够用了。 AI取代医生比较难，但AI加快医生的工作效率，让一个医生干完现在上千个医生的工作,
AI 辅助诊断系统引入医院后，医生的工作效率是提高了还是更复杂了？,https://api.zhihu.com/answers/1973689481677804537,医策科技,从医策科技在病理AI领域的实践来看，AI辅助诊断系统引入医院后，医生的核心诊断效率是显著提高了，而非变得更复杂,
AI智能预问诊系统｜结构化AI问诊+电子病历，为门诊流程按下“加速键”,https://api.zhihu.com/articles/1956283469727535859,武汉星际互动,系统模拟资深医师问诊思路，高效整合并自动生成标准化电子预问诊报告，无缝对接医院现有信息系统，将问诊流程前置，显著缓解“三长一短”门诊难题,
如何看待医疗智能问诊?,https://api.zhihu.com/answers/2772620536,陆玖传媒,生成问诊总结并发送给患者 智能问诊 除以上功能外，左医「智能医助、智能在线问诊」产品还具备智能匹配回复话术、智能常用语、智能知识库、医生排班等功能,
智能问诊，一站式解决方案,https://api.zhihu.com/articles/586301274,陆玖传媒,生成问诊总结并发送给患者 智能问诊 除以上功能外，左医「智能医助、智能在线问诊」产品还具备智能匹配回复话术、智能常用语、智能知识库、医生排班等功能,
智能问诊 | 线下到线上，人工到自动,https://api.zhihu.com/articles/85484509,Qiao,瞄准患者轻量级问诊咨询的需求，不少主打线上问诊的创业公司应运而生。 线下问诊 &gt;&gt; 线上问诊 线上问诊，顾名思义,
人工智能运用在智能导诊上可以帮助人们解决哪些问题？,https://api.zhihu.com/answers/1952776195390289720,静水,这就是传统的人工导诊存在的问题。而随着人工智能的发展，现在我们可以用AI来替代人工导诊了。AI导诊不仅效率更高,
智能问诊和传统问诊相比，有什么优势？,https://api.zhihu.com/answers/581710340,陈遥,我就从以下几个方面为大家分析智能问诊相较于传统问诊，优势在哪： 首先，智能问诊汇聚了全科的力量，相比于单一科室的诊疗经验,
医生治疗方案被质疑，发现患者用 DeepSeek 给出的诊断结果才是对的，AI 未来会取代医生问诊吗？,https://api.zhihu.com/answers/109597908869,窝太华,我认为这是完善三级诊疗制度的一个契机，更是一个完善医疗ai机器人的机会 三级诊疗制度的主要意思是，根据疾病的轻重缓急及治疗的难易程度对疾病进行分级诊疗,
基于AI的自动化诊断已经不再遥远,https://api.zhihu.com/articles/681781834,嘉蕴,一个很广泛的观点是，如果AI连片子都会看了，那基本可以认为AI会看病了。近十年来，AI读片的研究一日千里，直接导致很多大佬（比如Hinton和吴恩达）宣称过AI替代医生指日可待（当然他们被打脸了）,
湖南省医保局明确要求禁用 AI 开处方，原因是什么？人工智能在医疗领域的角色该如何定位？,https://api.zhihu.com/answers/110127553474,极萨学院冷哲,但在医学上5%的幻觉可能都会出人命。 另一个方面就是AI没有处方权，说直白的就是AI不能背锅。 然后可以把昨天的回答贴过来,
多地医院接入 DeepSeek，会如何改变传统诊疗方式？医疗行业的人如何拥抱 AI?,https://api.zhihu.com/answers/117007515668,叶岚山,现在有医院已经在试行使用AI写病历了。 能省事到什么程度呢？ 比如出门诊的时候，医生正常都是一边问诊、给病人查体,
实测医疗APP好伴AI：数字版三甲专家人人可用，AI医疗落地之路终于走通了？,https://api.zhihu.com/articles/25512732233,量子位,无外乎有以下几种形态： 在线问诊+药品配送，AI基于预设规则来诊疗一些常见病； 医学知识科普+轻问诊，AI局限于症状自查表,
如何看待医疗智能问诊?,https://api.zhihu.com/answers/1558341359,末代猿,后来迎来移动互联网在线问诊，可以选择网上咨询医生来判断或图心里安慰。 当前各种人工智能噱头的智能问诊出现，某种意义上来说满足了人们随时随地有个可能靠谱的口袋医生朋友,
大家对人工智能医疗怎么看？人工智能医疗应该着重往那个方向发展比较好？,https://api.zhihu.com/answers/2716112718,系统之神与我同在,最后估计只能说帮医疗方面做一些信息化系统。但是机器学习 人工智能在这个业务上还是算了。 用AI整理一下 在探讨AI医疗这一领域时，我们必须正视其背后的复杂性和挑战,
Springboot医院智能导诊问诊全流程系统源码 支持小程序H5,https://api.zhihu.com/articles/30143788412,星辰大海里编程,帮助患者更快速、准确地找到适合的医疗资源。 智能预问诊——提高诊疗效率和精度 如果患者使用了预问诊，患者在前期询问智能助手的所有病例就会直接同步到医生的电脑端,
DeepSeek 医生也能上岗诊疗了，人工智能自动生成处方靠谱吗？,https://api.zhihu.com/answers/109074266403,程老狼,清华首个AI医院小镇来了！AI医生自进化击败人类专家，数天诊完1万名患者 搜狐健康：AI医生给上万AI患者看病？清华研发智能“医院小镇”,
AI医生已经能诊断95%的病例，人类医生会彻底失业吗？,https://api.zhihu.com/answers/1916773237091731221,lzbin80,男人和女人都有可能早晚被AI取代。 但是可能超越物质空间的（例如神佛仙，如果存在的话）可能AI“不允许”超过物质空间,
AI在医疗影像诊断中已展现出较高准确率，但当AI诊断结果与资深医生诊断意见相悖时，应如何决策？,https://api.zhihu.com/answers/1922662788351889420,Watt Hour,而不是始终把循证理念作为一个实践准则。） 目前的临床AI成果，我经常用来打比方的一个说法就是，应该把AI和医生的工作看成类似合数探索的问题,
健康AI从技术到爆款，最难跨越的鸿沟是什么？,https://api.zhihu.com/answers/1951659484595327080,Akihi,健康AI最难跨越的鸿沟可能就是准确度了。 毕竟身体和其他东西不一样。 如果AI出现误诊，让病人吃错药,
AI医生在三甲医院辅助诊疗，病情评估更快更准，3-5分钟给出诊断报告，AI未来会取代人类医生吗？,https://api.zhihu.com/answers/111583472216,陈子杨Dr.outside,这些不是说AI代替不了。只是在我以及各位的有生之年，AI都迭代不到这个地步。 那再说回来，现在AI医生的应用到那一阶段了呢,
AI医生在三甲医院辅助诊疗，病情评估更快更准，3-5分钟给出诊断报告，AI未来会取代人类医生吗？,https://api.zhihu.com/answers/99802707874,蓝色月光,百分之九十九的人都是感冒发烧拉肚子。这种简单的症状，ai完全可以处理。 还有一部分人，无非就是高血压，糖尿病,
智能问诊系统推荐-医联MEDGPT,https://api.zhihu.com/articles/1895126461121291844,医联健康,所以国内在2023年起，AI智能问诊开始逐步出现， AI智能问诊系统推荐，主要基于以下几方面： 1、问诊准确性 2、数据可靠性,
AI问诊小程序凭什么火了？这5个优势告诉你答案,https://api.zhihu.com/articles/1913627554008510587,科技浪花弄潮儿,湖州市的AI问诊系统在脑卒中急救中，通过快速诊断为患者争取了宝贵的黄金时间。 总结AI问诊小程序凭借高效、精准、便捷和隐私保护等优势,
基本医疗诉求是否能通过人工智能解决？,https://api.zhihu.com/answers/3189851757,数字梦想家,自动从知识库中总结出适合的答案进行返回。 整个问诊过程被记录，也可以在问诊结束之后自动接入到在线的医生进行后续的服务。 AI问诊甚至可以通过摄像头、体温计血压仪等智能终端采集患者的生命体征信息,
AI能否替代医生问诊？,https://api.zhihu.com/answers/2966335556,海旭,AI在医学图像识别、疾病预测、治疗方案制定等方面都有着很好的应用前景。但是，目前的AI技术还无法完全代替医生进行问诊。 AI在问诊中的应用主要是通过数据分析和机器学习等技术,
deepseek「AI 问诊」真的很有用吗？它对心理精神病类的判断如何？还是说其只适合询问生理病？,https://api.zhihu.com/answers/1899003691618504867,江小北,特别是你问的那种——心理精神类。 一、AI 问诊是个啥？别被营销洗脑了 很多人一听「AI 问诊」就觉得好高大上，脑子里就浮现个白大褂的AI医生,
能不能用人工智能代替医生诊疗？,https://api.zhihu.com/answers/1853634777,青遥近争,可以用人工智能进行诊前问诊，一些流程化的问答和操作，完全可以通过机器人来完成。,
医生治疗方案被质疑，发现患者用 DeepSeek 给出的诊断结果才是对的，AI 未来会取代医生问诊吗？,https://api.zhihu.com/answers/109555174617,response,ai问诊能力目前就是比三甲门诊强很多。差的是检查，毕竟ai没有手。 如果一个主任，全科精通，从不懈怠及时更新自己知识,
AI看病靠谱吗？,https://api.zhihu.com/answers/1895574735238193976,阿鹿说健康,先说结论：目前AI看病还不太靠谱，但通过AI获取疾病知识还是靠谱的。 我实测下来，目前国内主流的大模型,
哈工大团队开源医学智能问诊大模型 | 华佗: 基于中文医学知识的LLaMa指令微调模型,https://api.zhihu.com/articles/626536996,CVHub,而经过专门医疗数据训练的Glass AI（链接：https://glass.health/ai）模型在智能诊断上表现极其出色,
基于深度学习的医疗问诊助手,https://api.zhihu.com/articles/15433741668,古月居,博主衍生出了做一个基于深度学习的医疗问诊助手的想法，依靠深度学习模型来做一个简单的医疗问诊机器人。 正文开始： 硬件准备这里博主直接展示一下做这个项目的一些硬件准备,
线上问诊和 AI 辅助诊断真的靠谱吗，未来会取代线下看病吗？,https://api.zhihu.com/answers/1963522822807742027,二师兄,而所有专业的技术支持则放到黑箱中由AI完成。诊疗流程和结果评价由AI完成，伦理评价和责任追溯由人完成，这就是最终趋势,
AI还有多久可以被广泛用于医疗？,https://api.zhihu.com/answers/3449719640,嘉蕴,问反了。拍片分析啥的已经用了很多年了。 倒是问诊这件事情很难做，大模型出来之前根本做不了。大模型出来之后能做了,
你认为人工智能看病有什么优点？,https://api.zhihu.com/answers/2862765539,diveng,提高了医疗人力资源的利用率，大大提高看病就医的效率。 ④人工智能节省获取检查结果的时间 医生诊疗的流程大致分为问诊，检查，看报告,
现阶段人工智能可以进行一对一的心理咨询吗？,https://api.zhihu.com/answers/2695821055,陆宣霏,就像我们去医院里面问诊，人工智能的机器人只能回答我们模块化的东西和知识，但取代不了医生面对面的问诊和判断。 人工智能可以解放人类很多劳动力,
ai已经/即将摧毁哪些行业?,https://api.zhihu.com/answers/1973740152506568833,zhang,医生有经济利益牵扯，人工智能没有，所以人工智能更客观。 医院就是做个检查，把数据抄给AI，AI立刻分析出病情,
这波人工智能浪潮怎么越来越像泡沫，AI到底带来了什么？,https://api.zhihu.com/answers/1961811126242243072,Tashi,肝上结节 冠脉造影 头颅血管造影都是靠ai诊断 我相信其他领域也有被ai取代的东西,
人工智能在医疗影像诊断中的实际应用已发展到什么程度？未来可能完全替代放射科医生吗？,https://api.zhihu.com/answers/129846030663,gcd0318,那么医生为什么要用这玩意？AI 写了报告他还要对照图像看一遍，甚至还要排除掉AI 报告的误导，等于增加医,
